
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
2	0	21.000000	13.125000	11111100100001111000
3	0	21.000000	18.375000	11111100100001111000
4	0	21.000000	15.750000	11111100100001111000
5	0	21.000000	18.375000	11111100100001111000
6	0	21.000000	18.375000	11111100100001111000
7	0	21.000000	13.125000	11111100100001111000
8	0	21.000000	21.000000	11111100100001111000
9	0	21.000000	13.125000	11111100100001111000
10	0	21.000000	18.375000	11111100100001111000
11	0	21.000000	18.375000	11111100100001111000
12	0	21.000000	15.750000	11111100100001111000
13	0	21.000000	13.125000	11111100100001111000
14	0	21.000000	13.125000	11111100100001111000
15	0	21.000000	15.750000	11111100100001111000
16	0	21.000000	13.125000	11111100100001111000
17	0	21.000000	18.375000	11111100100001111000
18	0	21.000000	18.375000	11111100100001111000
19	0	21.000000	18.375000	11111100100001111000
20	0	21.000000	21.000000	11111100100001111000
21	0	21.000000	13.125000	11111100100001111000
22	0	21.000000	13.125000	11111100100001111000
23	0	21.000000	21.000000	11111100100001111000
24	0	21.000000	13.125000	11111100100001111000
25	0	21.000000	18.375000	11111100100001111000
26	0	21.000000	18.375000	11111100100001111000
27	0	21.000000	15.750000	11111100100001111000
28	0	21.000000	13.125000	11111100100001111000
29	0	21.000000	18.375000	11111100100001111000
30	0	21.000000	18.375000	11111100100001111000
31	0	21.000000	13.125000	11111100100001111000
32	0	21.000000	15.750000	11111100100001111000
33	0	21.000000	13.125000	11111100100001111000
34	0	21.000000	18.375000	11111100100001111000
35	0	21.000000	15.750000	11111100100001111000
36	0	21.000000	15.750000	11111100100001111000
37	0	21.000000	21.000000	11111100100001111000
38	0	21.000000	13.125000	11111100100001111000
39	0	21.000000	15.750000	11111100100001111000
40	0	21.000000	21.000000	11111100100001111000
41	0	21.000000	15.750000	11111100100001111000
42	0	21.000000	13.125000	11111100100001111000
43	0	21.000000	18.375000	11111100100001111000
44	0	21.000000	18.375000	11111100100001111000
45	0	21.000000	7.875000	11111100100001111000
46	0	21.000000	15.750000	11111100100001111000
47	0	21.000000	10.500000	11111100100001111000
48	0	21.000000	15.750000	11111100100001111000
49	0	21.000000	15.750000	11111100100001111000
50	0	21.000000	18.375000	11111100100001111000
51	0	21.000000	15.750000	11111100100001111000
52	0	21.000000	15.750000	11111100100001111000
53	0	21.000000	15.750000	11111100100001111000
54	0	21.000000	21.000000	11111100100001111000
55	0	21.000000	7.875000	11111100100001111000
56	0	21.000000	15.750000	11111100100001111000
57	0	21.000000	21.000000	11111100100001111000
58	0	21.000000	18.375000	11111100100001111000
59	0	21.000000	21.000000	11111100100001111000
60	0	21.000000	13.125000	11111100100001111000
61	0	21.000000	10.500000	11111100100001111000
62	0	21.000000	10.500000	11111100100001111000
63	0	21.000000	21.000000	11111100100001111000
64	0	21.000000	18.375000	11111100100001111000
65	0	21.000000	15.750000	11111100100001111000
66	0	21.000000	15.750000	11111100100001111000
67	0	21.000000	15.750000	11111100100001111000
68	0	21.000000	13.125000	11111100100001111000
69	0	21.000000	15.750000	11111100100001111000
70	0	21.000000	13.125000	11111100100001111000
71	0	21.000000	18.375000	11111100100001111000
72	0	21.000000	10.500000	11111100100001111000
73	0	21.000000	15.750000	11111100100001111000
74	0	21.000000	18.375000	11111100100001111000
75	0	21.000000	13.125000	11111100100001111000
76	0	21.000000	15.750000	11111100100001111000
77	0	21.000000	21.000000	11111100100001111000
78	0	21.000000	18.375000	11111100100001111000
79	0	21.000000	13.125000	11111100100001111000
80	0	21.000000	13.125000	11111100100001111000
81	0	21.000000	18.375000	11111100100001111000
82	0	21.000000	15.750000	11111100100001111000
83	0	21.000000	18.375000	11111100100001111000
84	0	21.000000	7.875000	11111100100001111000
85	0	21.000000	13.125000	11111100100001111000
86	0	21.000000	7.875000	11111100100001111000
87	0	21.000000	13.125000	11111100100001111000
88	0	21.000000	18.375000	11111100100001111000
89	0	21.000000	18.375000	11111100100001111000
